PARAM,VALUE
AccumulatedAnnualDemand,frac
AnnualEmissionLimit,frac
AnnualExogenousEmission,frac
AvailabilityFactor,eq
CapacityFactor,eq
CapacityOfOneTechnologyUnit,eq
CapacityToActivityUnit,eq
CapitalCost,eq
CapitalCostStorage,eq
Conversionld,eq
Conversionlh,eq
Conversionls,eq
DaysInDayType,eq
DaySplit,eq
DepreciationMethod,eq
DiscountRate,eq
EmissionActivityRatio,eq
EmissionsPenalty,eq
FixedCost,eq
InputActivityRatio,eq
MinStorageCharge,eq
ModelPeriodEmissionLimit,frac
ModelPeriodExogenousEmission,frac
OperationalLife,eq
OperationalLifeStorage,eq
OutputActivityRatio,eq
REMinProductionTarget,frac
ReserveMargin,eq
ReserveMarginTagFuel,eq
ReserveMarginTagTechnology,eq
ResidualCapacity,frac
ResidualStorageCapacity,frac
RETagFuel,eq
RETagTechnology,eq
SpecifiedAnnualDemand,frac
SpecifiedDemandProfile,eq
StorageLevelStart,frac
StorageMaxChargeRate,eq
StorageMaxDischargeRate,eq
TechnologyFromStorage,eq
TechnologyToStorage,eq
TotalAnnualMaxCapacity,frac
TotalAnnualMaxCapacityInvestment,frac
TotalAnnualMinCapacity,frac
TotalAnnualMinCapacityInvestment,frac
TotalTechnologyAnnualActivityLowerLimit,frac
TotalTechnologyAnnualActivityUpperLimit,frac
TotalTechnologyModelPeriodActivityLowerLimit,frac
TotalTechnologyModelPeriodActivityUpperLimit,frac
TradeRoute,eq
VariableCost,eq
YearSplit,eq
